981:	1333 2766 
982:	2252 2766 
983:	888 
984:	54 888 
985:	54 1527 
986:	883 888 
987:	860 2990 
988:	54 2990 
989:	2008 2990 
990:	1564 2008 
991:	101 2008 
992:	1345 
993:	1345 1566 
994:	885 1992 
995:	885 1345 
996:	471 1834 
997:	497 1834 
998:	497 885 
999:	1834 1988 
1000:	497 2686 
1001:	702 
1002:	702 2667 
1003:	702 2655 
1004:	498 511 
1005:	1237 
1006:	1513 1922 
1007:	1237 1922 
1008:	1237 1691 
1009:	1082 2913 
1010:	1082 1521 
1011:	1521 1522 
1012:	1082 1452 
1013:	1521 1922 
1014:	295 
1015:	295 3684 
1016:	295 945 
1017:	945 3646 
1018:	476 566 
1019:	476 2229 
1020:	508 945 
1021:	508 3685 
1022:	476 508 
1023:	826 
1024:	826 3689 
1025:	826 1610 
1026:	1324 
1027:	688 1324 
1028:	400 1324 
1029:	400 2304 
1030:	387 400 
1031:	5 387 
1032:	385 387 
1033:	385 2016 
1034:	321 385 
1035:	125 
1036:	125 533 
1037:	125 2000 
1038:	786 2004 
1039:	635 
1040:	1154 3601 
1041:	635 1154 
1042:	635 1426 
1043:	2856 3325 
1044:	530 3325 
1045:	85 525 
1046:	85 3325 
1047:	85 1154 
1048:	3528 
1049:	907 3528 
1050:	2570 2573 
1051:	2570 3528 
1052:	1261 2571 
1053:	1230 2571 
1054:	2570 2571 
1055:	586 
1056:	586 738 
1057:	738 3342 
1058:	586 1337 
1059:	1059 1634 
1060:	1890 3257 
1061:	1059 3257 
1062:	738 3347 
1063:	1059 3347 
1064:	3265 3266 
1065:	3265 3347 
1066:	3257 3265 
1067:	855 
1068:	371 855 
1069:	371 1253 
1070:	855 1817 
1071:	91 3262 
1072:	91 371 
1073:	91 628 
1074:	992 
1075:	992 3747 
1076:	1751 3747 
1077:	102 2040 
1078:	992 2040 
1079:	725 3197 
1080:	725 2041 
1081:	2040 2045 
1082:	725 2045 
1083:	2045 3747 
1084:	591 
1085:	591 2576 
1086:	69 591 
1087:	69 2272 
1088:	443 1211 
1089:	547 1211 
1090:	547 739 
1091:	1211 3591 
1092:	69 547 
1093:	784 
1094:	550 784 
1095:	784 1307 
1096:	522 3285 
1097:	669 3285 
1098:	578 3285 
1099:	3585 
1100:	1776 3585 
1101:	1440 3585 
1102:	728 3310 
1103:	559 
1104:	559 1982 
1105:	559 1122 
1106:	2609 
1107:	635 2700 
1108:	2609 2700 
1109:	644 
1110:	687 3264 
1111:	644 3264 
1112:	930 
1113:	1070 2609 
1114:	930 1070 
1115:	644 930 
1116:	1154 1998 
1117:	535 1998 
