969:	63 140 
970:	599 
971:	125 599 
972:	150 595 
973:	104 599 
974:	140 537 
975:	104 599 
976:	63 599 
977:	537 595 
978:	150 529 
979:	140 529 
980:	513 
981:	85 131 
982:	86 128 
983:	506 
984:	130 509 
985:	87 506 
986:	86 127 
987:	86 509 
988:	127 508 
989:	506 510 
990:	46 509 
991:	87 508 
992:	618 
993:	88 157 
994:	87 618 
995:	132 509 
996:	87 512 
997:	510 618 
998:	157 512 
999:	47 509 
1000:	88 509 
1001:	613 
1002:	89 158 
1003:	88 133 
1004:	88 89 
1005:	620 
1006:	90 620 
1007:	156 580 
1008:	89 134 
1009:	49 580 
1010:	521 620 
1011:	89 580 
1012:	90 520 
1013:	134 520 
1014:	579 
1015:	91 159 
1016:	135 580 
1017:	90 579 
1018:	90 581 
1019:	71 580 
1020:	159 581 
1021:	91 580 
1022:	521 579 
1023:	523 
1024:	92 160 
1025:	91 152 
1026:	471 
1027:	92 166 
1028:	141 501 
1029:	106 471 
1030:	166 588 
1031:	92 501 
1032:	471 589 
1033:	106 588 
1034:	52 501 
1035:	593 
1036:	95 161 
1037:	96 137 
1038:	76 96 
1039:	600 
1040:	105 600 
1041:	139 573 
1042:	84 126 
1043:	43 600 
1044:	84 568 
1045:	105 600 
1046:	497 573 
1047:	126 568 
1048:	592 
1049:	95 147 
1050:	93 592 
1051:	138 551 
1052:	75 592 
1053:	95 551 
1054:	147 539 
1055:	559 
1056:	142 560 
1057:	97 559 
1058:	96 136 
1059:	96 893 
1060:	57 893 
1061:	559 561 
1062:	136 893 
1063:	541 560 
1064:	97 893 
1065:	559 561 
1066:	541 560 
1067:	560 
1068:	162 562 
1069:	98 560 
1070:	97 143 
1071:	97 562 
1072:	143 561 
1073:	58 560 
1074:	633 
1075:	163 894 
1076:	99 633 
1077:	98 633 
1078:	144 562 
1079:	98 894 
1080:	99 562 
1081:	163 894 
1082:	543 633 
1083:	144 562 
1084:	549 
1085:	100 164 
1086:	145 894 
1087:	99 549 
1088:	60 549 
1089:	548 894 
1090:	99 549 
1091:	100 542 
1092:	164 542 
1093:	554 
1094:	101 165 
1095:	100 146 
1096:	81 554 
1097:	101 548 
1098:	100 535 
1099:	564 
1100:	101 155 
1101:	102 129 
1102:	101 102 
1103:	595 
1104:	107 153 
1105:	102 140 
1106:	602 
1107:	117 602 
1108:	176 600 
1109:	603 
1110:	105 603 
1111:	202 573 
1112:	603 
1113:	139 603 
1114:	202 602 
1115:	167 176 
1116:	117 602 
1117:	600 603 
1118:	167 602 
1119:	139 573 
1120:	176 573 
1121:	506 
1122:	109 196 
1123:	685 
1124:	87 685 
1125:	177 509 
1126:	685 
1127:	157 196 
1128:	130 685 
1129:	177 506 
1130:	109 685 
1131:	196 509 
1132:	157 506 
1133:	607 
1134:	108 607 
1135:	208 513 
1136:	644 
1137:	85 644 
1138:	179 505 
1139:	607 
1140:	208 644 
1141:	151 607 
1142:	131 179 
1143:	85 644 
1144:	151 513 
1145:	131 644 
1146:	505 607 
1147:	179 513 
1148:	653 
1149:	101 653 
1150:	206 554 
1151:	664 
1152:	124 664 
1153:	197 564 
1154:	664 
1155:	155 206 
1156:	146 664 
1157:	197 653 
1158:	101 653 
1159:	146 564 
1160:	554 664 
1161:	155 653 
1162:	206 564 
1163:	506 
1164:	86 198 
1165:	506 
1166:	127 198 
1167:	131 196 
1168:	607 
1169:	130 607 
1170:	208 506 
1171:	128 198 
1172:	86 607 
1173:	198 513 
1174:	128 506 
1175:	685 
1176:	110 685 
1177:	184 618 
1178:	617 
1179:	168 618 
1180:	88 617 
1181:	617 
1182:	158 184 
1183:	168 685 
1184:	157 617 
1185:	158 685 
1186:	184 618 
1187:	157 617 
1188:	620 
1189:	89 180 
1190:	616 
1191:	111 616 
1192:	183 613 
1193:	616 
1194:	183 620 
1195:	156 616 
1196:	158 180 
1197:	158 620 
1198:	89 616 
1199:	180 613 
1200:	620 
1201:	112 172 
1202:	622 
1203:	90 622 
1204:	181 580 
1205:	622 
1206:	156 622 
1207:	181 620 
1208:	159 172 
1209:	112 622 
1210:	159 620 
1211:	172 580 
1212:	732 
1213:	113 732 
1214:	169 579 
1215:	732 
1216:	91 732 
